tip,name,species.complex,own
Colletotrichum_spinosum_strain_CBS_515.97,Colle. spinosum,orbiculare,
Colletotrichum_sublineola,Colle. sublineola,graminicola,
Colletotrichum_tabaci_strain_N150,Colle. tabacum,destructivum,
Colletotrichum_tainanense,Colle. tainanense,gloeosporioides,
Colletotrichum_tamarilloi_culture-collection_CBS_129814,Colle. tamarilloi,acutatum,
Colletotrichum_tebeestii_strain_CBS_522.97,Colle. tebeestii,orbiculare,
Colletotrichum_temperatum_nom.inval._culture_CBS_133122,Colle. temperatum,gloeosporioides,
Colletotrichum_tofieldiae_culture-collection_CBS_495.85,Colle. tofieldiae,spaethianum,
Colletotrichum_torulosum_culture-collection_CBS_128544,Colle. torulosum,boninense,
Colletotrichum_trifolii_strain_CBS_158.83,Colle. trifolii,orbiculare,
Colletotrichum_tropicale_isolate_CMM2999,Colle. tropicale CMM 2999,gloeosporioides,
Colletotrichum_tropicale_strain_CMM4243,Colle. tropicale CMM 4243,gloeosporioides,
Colletotrichum_tropicicola_strain_CBS_127555,Colle. tropicicola,dracaenophilum,
Colletotrichum_truncatum_culture-collection_CBS_151.35,Colle. truncatum,truncatum,
Colletotrichum_utrechtense_strain_CBS_130243,Colle. utrechtense,destructivum,
Colletotrichum_verruculosum_culture-collection_IMI_45525,Colle. verruculosum,spaethianum,
Colletotrichum_vietnamense_strain_CBS_125478,Colle. vietnamense,gigasporum,
Colletotrichum_vignae_strain_CBS_501.97,Colle. vignae,destructivum,
Colletotrichum_viniferum_strain_yg1,Colle. viniferum,gloeosporioides,
Colletotrichum_vittalense_strain_CBS_18182,Colle. vittalense,orchidearum,
Colletotrichum_walleri_culture-collection_CBS_125472,Colle. walleri,acutatum,
Colletotrichum_wuxiense_strain_JS1A32,Colle. wuxiense,gloeosporioides,
Colletotrichum_xanthorrhoeae_culture_BRIP_45094,Colle. xanthorrhoeae,gloeosporioides,
Colletotrichum_xishuangbannaense_strain_MFLUCC_19-0107,Colle. xishuangbannaense,gloeosporioides,
Colletotrichum_yulongense_strain_CFCC_50818,Colle. yulongense,gloeosporioides,
Colletotrichum_yunnanense_culture-collection_CBS_132135,Colle. yunnanense,dracaenophilum,
Monilochaetes_infuscans_culture-collection_CBS_869.96,Monilochaetes infuscans ,,
